X,Y,lat,lon,PROFUNDIDA,CLASSES
-45.0,-25.25,-25.250000000000000,-45.000000000000000,-100 a -200 m,Faixa
-44.75,-25.25,-25.250000000000000,-44.750000000000000,-100 a -200 m,Faixa
-46.25,-25.5,-25.500000000000000,-46.250000000000000,-100 a -200 m,Faixa
-46.0,-25.5,-25.500000000000000,-46.000000000000000,-100 a -200 m,Faixa
-45.75,-25.5,-25.500000000000000,-45.750000000000000,-100 a -200 m,Faixa
-45.5,-25.5,-25.500000000000000,-45.500000000000000,-100 a -200 m,Faixa
-45.25,-25.5,-25.500000000000000,-45.250000000000000,-100 a -200 m,Faixa
-45.0,-25.5,-25.500000000000000,-45.000000000000000,-100 a -200 m,Faixa
-46.75,-25.75,-25.750000000000000,-46.750000000000000,-100 a -200 m,Faixa
-46.5,-25.75,-25.750000000000000,-46.500000000000000,-100 a -200 m,Faixa
-46.25,-25.75,-25.750000000000000,-46.250000000000000,-100 a -200 m,Faixa
-46.0,-25.75,-25.750000000000000,-46.000000000000000,-100 a -200 m,Faixa
-45.75,-25.75,-25.750000000000000,-45.750000000000000,-100 a -200 m,Faixa
-45.5,-25.75,-25.750000000000000,-45.500000000000000,-100 a -200 m,Faixa
-45.25,-25.75,-25.750000000000000,-45.250000000000000,-100 a -200 m,Faixa
-47,-26,-26.000000000000000,-47.000000000000000,-100 a -200 m,Faixa
-46.75,-26.0,-26.000000000000000,-46.750000000000000,-100 a -200 m,Faixa
-46.25,-26.0,-26.000000000000000,-46.250000000000000,-100 a -200 m,Faixa
-46,-26,-26.000000000000000,-46.000000000000000,-100 a -200 m,Faixa
-45.75,-26.0,-26.000000000000000,-45.750000000000000,-100 a -200 m,Faixa
-45.5,-26.0,-26.000000000000000,-45.500000000000000,-100 a -200 m,Faixa
-47.0,-26.25,-26.250000000000000,-47.000000000000000,-100 a -200 m,Faixa
-46.5,-26.25,-26.250000000000000,-46.500000000000000,-100 a -200 m,Faixa
-46.25,-26.25,-26.250000000000000,-46.250000000000000,-100 a -200 m,Faixa
-46.0,-26.25,-26.250000000000000,-46.000000000000000,-100 a -200 m,Faixa
-45.75,-26.25,-26.250000000000000,-45.750000000000000,-100 a -200 m,Faixa
-47.25,-26.5,-26.500000000000000,-47.250000000000000,-100 a -200 m,Faixa
-47.0,-26.5,-26.500000000000000,-47.000000000000000,-100 a -200 m,Faixa
-46.75,-26.5,-26.500000000000000,-46.750000000000000,-100 a -200 m,Faixa
-46.5,-26.5,-26.500000000000000,-46.500000000000000,-100 a -200 m,Faixa
-46.25,-26.5,-26.500000000000000,-46.250000000000000,-100 a -200 m,Faixa
-46.0,-26.5,-26.500000000000000,-46.000000000000000,-100 a -200 m,Faixa
-47.5,-26.75,-26.750000000000000,-47.500000000000000,-100 a -200 m,Faixa
-47.25,-26.75,-26.750000000000000,-47.250000000000000,-100 a -200 m,Faixa
-47.0,-26.75,-26.750000000000000,-47.000000000000000,-100 a -200 m,Faixa
-46.75,-26.75,-26.750000000000000,-46.750000000000000,-100 a -200 m,Faixa
-46.5,-26.75,-26.750000000000000,-46.500000000000000,-100 a -200 m,Faixa
-46.25,-26.75,-26.750000000000000,-46.250000000000000,-100 a -200 m,Faixa
-46.0,-26.75,-26.750000000000000,-46.000000000000000,-100 a -200 m,Faixa
-47.5,-27.0,-27.000000000000000,-47.500000000000000,-100 a -200 m,Faixa
-47.25,-27.0,-27.000000000000000,-47.250000000000000,-100 a -200 m,Faixa
-47,-27,-27.000000000000000,-47.000000000000000,-100 a -200 m,Faixa
-46.75,-27.0,-27.000000000000000,-46.750000000000000,-100 a -200 m,Faixa
-46.5,-27.0,-27.000000000000000,-46.500000000000000,-100 a -200 m,Faixa
-46.25,-27.0,-27.000000000000000,-46.250000000000000,-100 a -200 m,Faixa
-47.75,-27.25,-27.250000000000000,-47.750000000000000,-100 a -200 m,Faixa
